station,delta,bootstrap_std_diff,pooled_std_estimate,cohens_d,n_per_group,n_current_total,n_required_total,achieved_power,power_deficit,is_underpowered
LWA,0.004889,0.011677,0.11677,0.04186863064143188,200,400,10000,0.06150194478289006,0.73849805521711,True
SRG,0.004232,0.012383,0.12383,0.034175886295728014,200,400,10000,0.052720526189436234,0.7472794738105638,True
GSI,0.002871,0.012661,0.12661,0.022675933970460468,200,400,10000,0.05,0.75,True
TNT,0.002669,0.009571,0.09570999999999999,0.027886323268206042,200,400,10000,0.05,0.75,True
ALR,0.002006,0.00795,0.0795,0.025232704402515724,200,400,10000,0.05,0.75,True
LUT,0.001955,0.009456,0.09456,0.02067470389170897,200,400,10000,0.05,0.75,True
TRD,0.001937,0.012153,0.12153,0.015938451411174195,200,400,10000,0.05,0.75,True
JYP,0.001176,0.009087,0.09086999999999999,0.012941564872895345,200,400,10000,0.05,0.75,True
YOG,0.000846,0.011347,0.11346999999999999,0.007455715167004495,200,400,10000,0.05,0.75,True
GTO,0.000689,0.011502,0.11502,0.005990262563032517,200,400,10000,0.05,0.75,True
KPY,-1.9e-05,0.010718,0.10718,-0.0001772718790819183,200,400,10000,0.05,0.75,True
SMI,-0.000144,0.012941,0.12941,-0.0011127424464879067,200,400,10000,0.05,0.75,True
LWK,-0.000166,0.012857,0.12857000000000002,-0.0012911254569495214,200,400,10000,0.05,0.75,True
PLU,-0.000256,0.013066,0.13066,-0.001959283636920251,200,400,10000,0.05,0.75,True
TND,-0.000332,0.012599,0.12599000000000002,-0.0026351297722041426,200,400,10000,0.05,0.75,True
LPS,-0.000439,0.014165,0.14165,-0.0030991881397811507,200,400,10000,0.05,0.75,True
CLP,-0.001665,0.011474,0.11474,-0.01451106850270176,200,400,10000,0.05,0.75,True
SCN,-0.001697,0.009485,0.09485,-0.017891407485503424,200,400,10000,0.05,0.75,True
SBG,-0.001735,0.008884,0.08884,-0.019529491220171093,200,400,10000,0.05,0.75,True
SKB,-0.00391,0.0089,0.089,-0.04393258426966293,200,400,10000,0.0640424925497316,0.7359575074502684,True
AMB,-0.003921,0.012751,0.12751,-0.03075052937024547,200,400,10000,0.05,0.75,True
TRT,-0.004143,0.010721,0.10721,-0.03864378322917638,200,400,10000,0.05769084578009398,0.7423091542199061,True
SRO,-0.004682,0.007292,0.07292,-0.06420735052111905,200,400,7607,0.09351128617757509,0.706488713822425,True
MLB,-0.004736,0.011702,0.11702000000000001,-0.040471714236882575,200,400,10000,0.059827609941787485,0.7401723900582126,True
